Date,Name,,Ratings,Dugan Ratings,Name,Year,Name,Review,Watched Date,Name,Liked
2023-06-20,The Power of the Dog,,3,6,Last Night in Soho,2021,Go,If Gregg Araki made Pulp Fiction,2025-06-30,The Last of the Mohicans,Yes
2023-06-20,The Worst Person in the World,,3.5,7,King Richard,2021,F1,Kosinski could make a Zamboni race look cool as shit,2025-07-01,Anora,Yes
2023-06-20,Troll 2,,1,2,Spider-Man: Across the Spider-Verse,2023,The Straight Story,Felt like driving 2 hours without a car radio,2025-07-02,Collateral,Yes
2023-06-20,Dracula vs. Frankenstein,,0.5,1,Guardians of the Galaxy Vol. 3,2023,Lightyear,"Quality nose dives once the ragtag crew shows up, Sox is more than enough",2025-07-02,Date Movie,Yes
2023-06-20,Riders of Justice,,4.5,9,The Super Mario Bros. Movie,2023,How to Train Your Dragon,"This is 30 minutes longer than the original?? Where though, da credits?",2025-07-04,Bone Tomahawk,Yes
2023-06-20,The Batman,,4,8,Air,2023,10 Things I Hate About You,That was a really confusing way for Joey to gift Kat a guitar,2025-07-07,Almost Famous,Yes
2023-06-20,Val,,3,6,The Pale Blue Eye,2022,Say Anything...,"First 30 min: wow I haven’t seen a supportive dad in a movie in awhile
Last 30 min: nevermind",2025-07-08,Nickel Boys,Yes
2023-06-20,Licorice Pizza,,3.5,7,A Man Called Otto,2022,The Matrix,"Oozing style from start to finish, every reflection shot is 10/10",2025-07-09,Greedy People,Yes
2023-06-20,Red Rocket,,2,4,Sisu,2022,12 Angry Men,"Ranking Angry Men:
 #7 No one cares about your baseball game, did help with the fan though 
#10 Racist :(, was the reason for the best scene though 
#1 Ain’t no way you keep everything cordial but have no talking points the entire time??
#2 Gives sidekick energy, called racist man friend 
#12 Loves talking about his corporate job, has a nice story arch though
#5 Mid tier, gonna be the only one I forget from this movie 
#3 Maybe beats son :(, but has the best performance by far (So angry) 
#8 Observant about glasses, very cute grandpa 
#7 Likes to say “I don’t know”, but is the reason for the movie 
#6 Want to grab a beer with him, has my favorite line of the movie 
#4 Maybe sweats?, convinced this is how my rationale would go if I was there 
#11 goated, tells baseball man he sucks :)",2025-07-10,Wind River,Yes
2023-06-20,Rain Man,,4,8,Scream VI,2023,Superman,Wait Superman is supposed to be portrayed like a human??? Thought Snyder told me he was a heartless god,2025-07-10,Clueless,Yes
2023-06-20,Ride the Eagle,,1.5,3,Champions,2023,In Time,The 1v1 “fight” scene with the minutemen is so dumb and funny,2025-07-10,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,Yes
2023-06-20,Mr. Right,,3.5,7,Guillermo del Toro's Pinocchio,2022,"Mystery, Alaska",Man I wish Alaska was real,2025-07-13,Look Back,Yes
2023-06-20,Don't Look Up,,3,6,Puss in Boots: The Last Wish,2022,Frankie Freako,My dad is banned from picking movies for awhile,2025-07-14,Fritz the Cat,Yes
2023-06-20,"tick, tick... BOOM!",,3,6,Weird: The Al Yankovic Story,2022,The Ox-Bow Incident,12 Angry Men: the bad ending.,2025-07-14,The Thing,Yes
2023-06-20,The Harder They Fall,,1,2,Spider-Man: No Way Home,2021,My Big Fat Greek Wedding,Aunt Voula top 10 character ever written,2025-07-15,The Cat Returns,Yes
2023-06-20,CODA,,4,8,Reservoir Dogs,1992,Yor: The Hunter from the Future,I feel like Dom watching this many bad movies,2025-07-16,The Game,Yes
2023-06-20,21,,2.5,5,The Flash,2023,City of God,"Benny so goated not only did I not care he stole the main character’s girl, Rocket didn’t either",2025-07-18,Se7en,Yes
2023-06-20,Pig,,3.5,7,Top Gun: Maverick,2022,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,All cause a general had weird sex,2025-07-19,Beavis and Butt-Head Do America,Yes
2023-06-20,Rushmore,,3.5,7,Thor: Love and Thunder,2022,Varsity Blues,A final act so much better you forget how bad of a raunchy high school comedy this tried to be,2025-07-20,Amélie,Yes
2023-06-20,Encanto,,3,6,Hustle,2022,Dog Day Afternoon,"Mannnn this Al Pacino guy is good, hope to see him in more stuff",2025-07-22,Seven Samurai,Yes
2023-06-20,Klaus,,5,10,The Omega Man,1971,Flora and Son,Very charming but surprisingly just meh music compared to Carney’s other movies,2025-07-22,Ilsa: Harem Keeper of the Oil Sheiks,Yes
2023-06-20,The Mitchells vs. the Machines,,3.5,7,Raya and the Last Dragon,2021,Safe Men,"Ending is baffling, how do you set up Paul giamatti blowing up cause of pants and not do it?",2025-07-24,Bo Burnham: The Inside Outtakes,Yes
2023-06-20,Belfast,,3.5,7,The Visitor,2007,Vertigo,"One of the best looking movies I’ve ever seen. Never wanted to go to San Fran more, hang every third shot in a museum",2025-07-25,Poor Things,Yes
2023-06-20,The Nightmare Before Christmas,,4,8,Attack the Block,2011,Happy Gilmore 2,John Daly saving a nostalgia bait cameo fest,2025-07-28,My Neighbor Totoro,Yes
2023-06-20,Dune,,2,4,The Northman,2022,Boxcar Bertha,Scorsese kissing Barbara Hershey for his cameo in this is some Tarantino type move,2025-07-29,Megamind,Yes
2023-06-20,(500) Days of Summer,,4,8,Day Shift,2022,Face/Off,"An absolute tragedy the casting Oscar wasn’t a thing in 1997, it peaked",2025-07-31,A Fish Called Wanda,Yes
2023-06-20,No Time to Die,,3,6,Me Time,2022,Five Corners,"Absolute shit-show of storytelling, characters have a combined 10 IQ",2025-08-03,Tetris,Yes
2023-06-20,The Last Duel,,3.5,7,Chip 'n Dale: Rescue Rangers,2022,Animal Kingdom,Double feature this with Superman if you want to lose all hope in humanity immediately,2025-08-03,Altered States,Yes
2023-06-20,Fast Times at Ridgemont High,,3,6,It's Such a Beautiful Day,2012,Castle in the Sky,"10/10 score, they cooked for 2 hours straight in the studio",2025-08-04,Raging Bull,Yes
2023-06-20,The Rum Diary,,3.5,7,Amsterdam,2022,The Fantastic 4: First Steps,Most traumatic childbirth since Quiet Place,2025-08-05,Cha Cha Real Smooth,Yes
2023-06-20,Hell or High Water,,3.5,7,Doctor Strange in the Multiverse of Madness,2022,Mary and Max,Ain’t no way they got me tearing up over claymation☹️,2025-08-06,Smiley Face,Yes
2023-06-20,Jackie Brown,,3,6,Treasure Planet,2002,It's Alive,There’s gotta be a good 70s horror I’ve never heard of right?,2025-08-06,Mad God,Yes
2023-06-20,The Green Knight,,2,4,The Power of the Dog,2021,The Hidden,"Kyle MacLachlan is a perfect casting as a weird FBI dude, something about the face. Also officially 1 for 300 on guessing twists",2025-08-07,Ordinary People,Yes
2023-06-20,The Losers,,3,6,The Worst Person in the World,2021,Cars,Cars be driving vroom vroom,2025-08-08,The Elephant Man,Yes
2023-06-20,"Three Billboards Outside Ebbing, Missouri",,3.5,7,Troll 2,1990,Legend,"Worst Tom Cruise performance, awful characters, bad action, but Tim Curry has never looked or sounded cooler. He never fails to be the best part of a movie",2025-08-10,Paths of Glory,Yes
2023-06-20,No Sudden Move,,2,4,Dracula vs. Frankenstein,1971,Wolfs,"They almost died cause of a dance circle, wish I was making that up",2025-08-12,The Insider,Yes
2023-06-20,The Trial of the Chicago 7,,4.5,9,Riders of Justice,2020,From Up on Poppy Hill,The kind of gorgeous animation that makes me avoid live action for a week,2025-08-12,Sherlock Jr.,Yes
2023-06-20,Godzilla vs. Kong,,3.5,7,The Batman,2022,Zodiac,Should’ve arrested him based off watch alone,2025-08-13,American Beauty,Yes
2023-06-20,Sing Street,,4.5,9,Val,2021,Weapons,The layout of the 2nd floor in the house was the real MVP,2025-08-14,Batman: Mask of the Phantasm,Yes
2023-06-20,Drive,,3.5,7,Licorice Pizza,2021,The Conversation,"Mannnnnn what a performance, what a movie. Haven’t seen a movie so patient with the story since Pig with Nick Cage.",2025-08-15,Wolfwalkers,Yes
2023-06-20,The Muppet Movie,,3.5,7,Red Rocket,2021,Ponyo,80% of the conflict is cause Liam Neeson fish dad has no chill,2025-08-18,The Green Mile,Yes
2023-06-20,In Bruges,,2.5,5,Rain Man,1988,Valley Girl,"https://open.spotify.com/playlist/75Wfi8Lt8KxzpDbpBjFUN2?si=ZHGI8oxMQRGWRBvigm-DDA&pi=go0PlPLWQmm4V

Here’s the soundtrack, saved you 99 minutes. You’re welcome",2025-08-20,Office Space,Yes
2023-06-20,High Fidelity,,2.5,5,Ride the Eagle,2021,The Seventh Seal,"That’s enough existential dread for the next month, thanks",2025-08-20,Trainspotting,Yes
2023-06-20,Possessor,,1,2,Mr. Right,2015,Punch-Drunk Love,"Basically the US version of Submarine (2010). Also it’s amazing, can’t believe I wasn’t excited to watch it",2025-08-21,The Prestige,Yes
2023-06-20,The King of Comedy,,4.5,9,Don't Look Up,2021,DodgeBall: A True Underdog Story,Any movie that Ben Stiller is playing the straight man is an injustice,2025-08-22,But I'm a Cheerleader,Yes
2023-06-20,True Romance,,3,6,"tick, tick... BOOM!",2021,Sexy Beast,This is how it felt as a kid when my parents’ cousins would stop by,2025-08-22,Go,Yes
2023-06-20,The Rookie,,2.5,5,The Harder They Fall,2021,From Dusk Till Dawn,You’re telling me nobody else could’ve played that part?? Tarantino a freak,2025-08-23,F1,Yes
2023-06-20,Pokémon Detective Pikachu,,2.5,5,CODA,2021,Sing Sing,That lady asking if he was acting the whole time during the interview is the most devastating thing I’ve seen since I’m Still Here,2025-08-24,10 Things I Hate About You,Yes
2023-06-20,Superman/Batman: Public Enemies,,2,4,21,2008,The Player,"The last 30 minutes loses me a bit, but I love the script here, and the million cameos that either hate Hollywood or got tricked into being in an anti Hollywood movie",2025-08-26,The Matrix,Yes
2023-06-20,The Breaker Upperers,,1.5,3,Pig,2021,Heat,"#1000

This milestone had to be celebrated with one I’ve been putting off for years. Pairing Pacino and De Niro with this story is enough for a great movie, but the script and characters make this stand with some of the other 2.5+ hour epics. 

How can you not love da movies",2025-08-26,12 Angry Men,Yes
2023-06-20,Safety Not Guaranteed,,2,4,Porco Rosso,1992,The Party,"I just wanna go to a party and wash an elephant now, didn’t know that’s what rich people did",2025-08-28,Superman,Yes
2023-06-20,The Intouchables,,3.5,7,Rushmore,1998,Lost in Translation,"Should’ve known this was gonna be fantastic, it’s Cha Cha Real Smooth but somehow more problematic",2025-08-29,My Big Fat Greek Wedding,Yes
2023-06-20,Project Power,,2,4,Encanto,2021,Paper Moon,"Still thinking about Ms Delight trying to get up the hill. First half is fantastic, what a duo",2025-09-01,City of God,Yes
2023-06-20,Tucker and Dale vs. Evil,,3.5,7,Klaus,2019,Hoodwinked!,Granny would beat up Lorax grandmom so badly,2025-09-07,Varsity Blues,Yes
2023-06-20,Annie Hall,,2,4,The Mitchells vs. the Machines,2021,The Parallax View,Damn that ending,2025-09-07,Face/Off,Yes
2023-06-20,"Love, Simon",,4,8,La La Land,2016,Phantasm,Shoutout the maid for showing up for 3 seconds and not noticing anything weird for 90 minutes,2025-09-10,The Fantastic 4: First Steps,Yes
2023-06-20,The Naked Gun: From the Files of Police Squad!,,4,8,Belfast,2021,Network,"Please find a way to watch this. This script is perfect, every character so convincing in what they believe in no matter how vile it is. More applicable today than ever, just seeing the story of why a group of people feel justified to put their company over peoples’ lives.",2025-09-11,Mary and Max,Yes
2023-06-20,When Harry Met Sally...,,4.5,9,The Nightmare Before Christmas,1993,A Little Romance,"Richard is no stepdad, that’s the dad that stepped up",2025-09-14,From Up on Poppy Hill,Yes
2023-06-20,Stand by Me,,4,8,Dune,2021,The Lego Movie,This and Battle for Bikini Bottom are the blueprint for how to do licensed entertainment,2025-09-16,Zodiac,Yes
2023-06-20,The Other Guys,,3.5,7,(500) Days of Summer,2009,My Neighbors the Yamadas,"Maybe just aged poorly? Feels like a compilation of a cool Instagram account, not a full movie",2025-09-23,Weapons,Yes
2023-06-20,Cast Away,,3,6,No Time to Die,2021,God Help the Girl,"I cannot stand James, a twink that can’t sing or act, thank god he gets nothing. Give these songs a better set of characters please",2025-09-24,The Conversation,Yes
2023-06-20,History of the World: Part I,,2,4,The Last Duel,2021,The Jericho Mile,"What a weird start for Mann’s career, guessing he decided he never wanted to see the sun in his movies again after this",2025-09-25,Punch-Drunk Love,Yes
2023-06-20,The Lovebirds,,3,6,Fast Times at Ridgemont High,1982,Chinatown,"A HISTORIC DAY, I GUESSED THE REVEAL OF A DETECTIVE MOVIE💃 (updated counter of 2 for 300 on this)",2025-09-30,DodgeBall: A True Underdog Story,Yes
2023-06-22,The Menu,,2.5,5,The Rum Diary,2011,One Battle After Another,"“Semen Demon” wins joke of the year, Sean Penn wins best weirdo of the year (sorry Aunt Gladys)",2025-10-01,Sexy Beast,Yes
2023-07-07,Blood & Gold,,4,8,Hell or High Water,2016,Serpico,"I was excited to see what hat Pacino was gonna pull up in every scene. Can’t believe I waited until this year to watch Lumet’s movies, he’s so goooood",2025-10-02,Sing Sing,Yes
2023-07-15,Indiana Jones and the Dial of Destiny,,3,6,Jackie Brown,1997,Klute,"This was nominated for best screenplay? Romance is forced, mystery is never satisfying, and it’s filmed like a horror movie for some reason.",2025-10-03,The Player,Yes
2023-07-15,Won't You Be My Neighbor?,,4,8,The Green Knight,2021,Duck Soup,The “Dugan only watches ancient movies” propaganda gonna love this one,2025-10-05,Heat,Yes
2023-07-25,Barbie,,3,6,The Losers,2010,Trick 'r Treat,"One of the greatest movie costumes ever created, idk how more kids don’t dress up as Sam",2025-10-06,Lost in Translation,Yes
2023-07-27,Oppenheimer,,5,10,"Three Billboards Outside Ebbing, Missouri",2017,The Night Evelyn Came Out of the Grave,Filmed on a microwave with the budget to buy one light. A good alternative to melatonin,2025-10-07,Paper Moon,Yes
2023-07-27,Hunt for the Wilderpeople,,3.5,7,No Sudden Move,2021,The Texas Chain Saw Massacre,"Can I get a hell yeah for Franklin getting sawed in half, I audibly clapped during it. Murdering Psychopath > annoying ass Franklin",2025-10-09,Network,Yes
2023-07-27,Irresistible,,3,6,The Trial of the Chicago 7,2020,You're Next,"I’m been itching for some good, bloody kills. Made a bit wonky but a fun time",2025-10-10,A Little Romance,Yes
2023-07-27,Into the Wild,,4,8,Godzilla vs. Kong,2021,Scream,I know this came out in ‘96 but the poster is Lucy Hale from Pretty Little Liars and I will never be able to unsee it. Also Matthew Lillard should have at least 2 Oscars by now,2025-10-11,The Lego Movie,Yes
2023-07-27,On the Waterfront,,3,6,Sing Street,2016,The Descent,"These women were actually pretty smart during the movie, except for being stupid enough to  choose to cave dive for VACATION. Never heard of a cold beer in a hot tub?",2025-10-13,Chinatown,Yes
2023-07-27,Legally Blonde,,1.5,3,Drive,2011,Over the Garden Wall,"I need more of the pumpkin cult, just a chill town looking to have a good time. Also all my homies hate those girls for hating on Greg’s elephant costume",2025-10-13,One Battle After Another,Yes
2023-07-27,The Kentucky Fried Movie,,2,4,The Muppet Movie,1979,The Stepford Wives,"Good message, good premise, BORING. Slow burn with no scenes that hit hard or are memorable enough to remember a week from now",2025-10-13,Serpico,Yes
2023-07-27,Eurovision Song Contest: The Story of Fire Saga,,1,2,In Bruges,2008,The Fly,"If anybody got recommendations for gross movies with fantastic effects please let me know, I can’t get enough. Also how’s he getting all these baboons? He’s buying them like they’re goldfish",2025-10-15,Trick 'r Treat,Yes
2023-07-27,Heathers,,1,2,High Fidelity,2000,The Substance,"What da hell, thought watching the Fly would prepare me but it did not. Love to see the return of practical effects like this though😌",2025-10-15,The Texas Chain Saw Massacre,Yes
2023-07-27,Guns Akimbo,,1.5,3,Possessor,2020,Death of a Unicorn,"Paul Rudd’s character is the worst “flawed” dad in a movie since Chicken Little. However, somehow the biggest sin is how you get NoHo Hank in your movie and waste him",2025-10-16,You're Next,Yes
2023-07-27,City Slickers,,2.5,5,The King of Comedy,1982,Midsommar,"Looks fantastic. Should be more bright horror movies, but can definitely see them falling flat easily.",2025-10-16,Scream,Yes
2023-09-28,"Crazy, Stupid, Love.",,4,8,True Romance,1993,Manhunter,Perfect first half. Was convinced this was gonna be perfect going into the 3rd act but it couldn’t deliver. Another reason to love Brian Cox though,2025-10-19,The Descent,Yes
2023-11-01,Five Nights at Freddy's,,1.5,3,The Rookie,2002,It's What's Inside,Convinced this would be fun if it wasn’t with these psychopaths,2025-10-20,Over the Garden Wall,Yes
2023-11-01,Kung Fu Panda,,4,8,Pokémon Detective Pikachu,2019,Bram Stoker's Dracula,Idk if Van Helsing is that good of a role or if Anthony Hopkins and Willem Dafoe are just that good,2025-10-21,The Fly,Yes
2023-11-01,The Rocky Horror Picture Show,,2.5,5,Superman/Batman: Public Enemies,2009,Scary Godmother: Halloween Spooktakular,"Greatest animated Bowling cutscene ever created. Justice for Skully, made good looking food for greedy-ass Harry to ruin",2025-10-21,The Substance,Yes
2023-11-01,Hotel Transylvania 2,,2.5,5,The Breaker Upperers,2018,Children Shouldn't Play with Dead Things,"Description says “Soon the dead are walking about”. Letterboxd is confused, this happens 55 minutes in of an 87 minute movie",2025-10-23,Manhunter,Yes
2023-11-01,Amsterdam,,1,2,Safety Not Guaranteed,2012,Alien,"Top 5 greatest looking movies of all time. Production design peaked here and maybe will never look this good again. Atmospheric, perfect tension, what a movie. (The slightly lame kills keep this from 5 stars but it close)",2025-10-24,Scary Godmother: Halloween Spooktakular,Yes
2023-11-01,Day Shift,,0.5,1,The Intouchables,2011,Braindead,"Turns the quality on its head in the second half, from 2 stars to 4 stars once the animal energizers show up. Didn’t know gore could be so creative",2025-10-24,Alien,Yes
2023-11-23,Shane Gillis: Beautiful Dogs,,3,6,Project Power,2020,Halloween,"Music is banging, caught myself head bobbing during multiple kill scenes. Also that shot where he comes out of the door shadow, chef kiss",2025-10-28,Chainsaw Man – The Movie: Reze Arc,Yes
2023-11-24,Kung Fu Panda 2,,4,8,Tucker and Dale vs. Evil,2010,Don't Look in the Basement,Eyes were feeling real heavy after only 15 minutes. Also this movie hates people with disabilities so that sucks,2025-10-28,Hocus Pocus,Yes
2023-12-14,Set It Up,,3.5,7,Annie Hall,1977,Halloweentown,"There was not a single monster looking excited to join the mayor’s evil plan, how’d this guy get elected?",2025-10-29,Rosemary's Baby,Yes
2023-12-14,The Muppet Christmas Carol,,3.5,7,"Love, Simon",2018,Hocus Pocus,"I am so sorry Bette Midler, I was not familiar with your game",2025-10-29,Isle of Dogs,Yes
2024-01-01,Dungeons & Dragons: Honor Among Thieves,,4,8,The Naked Gun: From the Files of Police Squad!,1988,Rosemary's Baby,"1. Rosemary’s only mistake was not instantly leaving when Guy said he enjoyed role playing necrophilia🚩😟
2. I think I enjoy Get Out so much cause I get to see everyone I hate in the movie get brutally beaten to death, tragic it didn’t happen here",2025-10-30,The Warriors,Yes
2024-01-14,BlackBerry,,4.5,9,When Harry Met Sally...,1989,Isle of Dogs,The first pro-gossip movie ever made?,2025-11-03,Sorcerer,Yes
2024-01-15,Killers of the Flower Moon,,3.5,7,Stand by Me,1986,The Warriors,"CAN YOU DIG IT? Stole the whole movie with 2 minutes of screen time, most impressive thing I’ve ever seen",2025-11-04,Sisu: Road to Revenge,Yes
2024-01-31,Scott Pilgrim vs. the World,,3.5,7,The Other Guys,2010,King of New York,"Really wished I liked this more, could’ve used another 15 minutes (or be directed my Michael Mann👀). Laurence Fishburne absolutely steals the show though, what a fun performance",2025-11-05,A Muppet Family Christmas,Yes
2024-01-31,Rango,,4.5,9,Cast Away,2000,The Naked Gun,"What a weird Kingsman remake
(Everything Happy Gilmore 2 wishes it was)",2025-11-06,The Year Without a Santa Claus,Yes
2024-01-31,La La Land,,4,8,History of the World: Part I,1981,Popstar: Never Stop Never Stopping,When is Tim Meadows gonna complete his trilogy of music mockumenteries with Walk Hard and Popstar? The people need it,2025-11-13,Santa Claus Is Comin' to Town,Yes
2024-01-31,Hot Tub Time Machine,,3.5,7,The Lovebirds,2020,Edward Scissorhands,"Everyone look up Anthony Michael Hall on IMDB right now, proof of perfect casting right there. Something mischievous in those eyes",2025-11-18,The Christmas Tree,Yes
2024-02-05,Paddington,,3.5,7,The Menu,2022,Small Things Like These,"Most depressing Christmas movie ever made? Takes slow-burn to a whole new level, but Emily Watson steals the show. Sorry Shane😔",2025-11-20,The Apartment,Yes
2024-02-11,Burn After Reading,,3,6,Blood & Gold,2023,Labyrinth,"Made David Bowie into a creep going after a 15 year old. Bad movie, don’t do that. Also Gonzo clears every character in this easily, and he’s like maybe top 5 muppet",2025-11-23,Tokyo Godfathers,Yes
2024-02-27,Drive-Away Dolls,,3,6,Indiana Jones and the Dial of Destiny,2023,Killer's Kiss,"The Killing is a significant ramping up for Kubrick in everything after this, pace, story, characters. Surprisingly nice cinematography though",2025-11-26,How the Grinch Stole Christmas,Yes
2024-03-04,Dune: Part Two,,4.5,9,Won't You Be My Neighbor?,2018,Sorcerer,Can’t wait to rewatch the rope bridge scene 10 times this week,2025-11-29,Marty Supreme,Yes
2024-03-16,Looper,,4,8,Barbie,2023,The Incredible Melting Man,"“I got an idea, let’s kill the happy cute old couple and not the creepy photographer”😐 classic 70s",2025-11-30,Wake Up Dead Man,Yes
2024-03-20,Howl's Moving Castle,,3.5,7,Oppenheimer,2023,Don't Worry Darling,He CHOSE to be British?? Honestly that alone is the scariest thing in the entire movie,2025-11-30,Sovereign,Yes
2024-03-27,Ocean's Eleven,,4.5,9,Hunt for the Wilderpeople,2016,Sisu: Road to Revenge,"Do not get it twisted, this is a superhero movie",2025-12-01,Everybody Wants Some!!,Yes
2024-05-16,Kingdom of the Planet of the Apes,,3.5,7,Irresistible,2020,Krampus,More like Crap-Piss,2025-12-01,The Rapsittie Street Kids: Believe in Santa,Yes
2024-05-16,Léon: The Professional,,3.5,7,Into the Wild,2007,Wicked,Was scared to revisit but that 160 minute runtime flies by. Optimistic for part 2 tomorrow,2025-12-02,Train Dreams,Yes
2024-05-16,Shrek 2,,4,8,On the Waterfront,1954,Wicked: For Good,"Never thought I’d be campaigning for Ariana Grande to win an Oscar, but here we are. More than anything she embarrassed Michelle Yeoh’s sleepy ah performance",2025-12-02,The Edge of Seventeen,Yes
