Name.1,Year,Date,Ratings,Dugan Ratings,Review,Liked
Horton Hears a Who!,2008,,,,,
Hot Rod,2007,,,,,
Hot Tub Time Machine,2010,01/31/2024,3.5,7.0,,
Hotel Transylvania,2012,,,,,
Hotel Transylvania 2,2015,11/01/2023,2.5,5.0,,
How the Grinch Stole Christmas,2000,12/22/2025,4.0,8.0,"I can’t think of a movie that has been carried harder by a performance, Jim Carrey is 1 of 1",Yes
How to Train Your Dragon,2025,07/05/2025,3.0,6.0,"This is 30 minutes longer than the original?? Where though, da credits?",
How to Train Your Dragon,2010,07/05/2025,3.0,6.0,"This is 30 minutes longer than the original?? Where though, da credits?",
How to Train Your Dragon 2,2014,,,,,
Howl's Moving Castle,2004,03/20/2024,3.5,7.0,Justice for Scarecrow,
Hugo,2011,,,,,
Hundreds of Beavers,2022,02/22/2025,4.0,8.0,Charlie Chaplin wishes he could’ve made this,Yes
Hunt for the Wilderpeople,2016,07/27/2023,3.5,7.0,,Yes
Hustle,2022,06/20/2023,4.0,8.0,,Yes
I Am Legend,2007,,,,,
I Care a Lot,2020,,,,,
I Don't Feel at Home in This World Anymore,2017,,,,,
I Lost My Body,2019,,,,,
I Married a Witch,1942,08/12/2025,2.5,5.0,,
I Now Pronounce You Chuck & Larry,2007,,,,,
I'm Still Here,2024,02/25/2025,4.0,8.0,But.. but they’re so happy in the beginning,Yes
Ice Age,2002,,,,,
Ice Age: Continental Drift,2012,,,,,
Ice Age: Dawn of the Dinosaurs,2009,,,,,
Ice Age: The Meltdown,2006,,,,,
Ichi the Killer,2001,04/06/2025,1.5,3.0,I’m convinced they designed characters’ costumes first and then made the story somehow fit.,
Idiocracy,2006,,,,,
If I Had Legs I'd Kick You,2025,01/23/2026,4.0,8.0,"Can’t wait to watch Hamnet cause Rose is supposed to lose to Jessie Buckley?👀 What a bad movie for my blood pressure, can’t wait to never watch again",Yes
Ilsa: Harem Keeper of the Oil Sheiks,1976,,,,,Yes
Imagine That,2009,,,,,
In Bruges,2008,06/20/2023,2.5,5.0,,
In Time,2011,07/11/2025,2.5,5.0,The 1v1 “fight” scene with the minutemen is so dumb and funny,
Inception,2010,,,,,
Incredibles 2,2018,04/27/2021,2.5,5.0,,
Independence Day,1996,,,,,
Independence Day: Resurgence,2016,,,,,
Indiana Jones and the Dial of Destiny,2023,07/15/2023,3.0,6.0,,
Inglourious Basterds,2009,04/27/2021,5.0,10.0,,Yes
Inside Moves,1980,05/27/2025,2.5,5.0,Why everybody touching each other in this? You can say a line without grabbing their shoulder,
Inside Out,2015,04/27/2021,4.0,8.0,,Yes
Inside Out 2,2024,06/16/2024,4.5,9.0,,Yes
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,04/08/2025,4.0,8.0,"Oh no, not a volcano!! *funky beat drop*",Yes
Interstellar,2014,05/23/2024,4.5,9.0,Oh no I’m basic,Yes
Into the Wild,2007,07/27/2023,4.0,8.0,,Yes
Into the Woods,2014,,,,,
Iron Man,2008,04/27/2021,4.0,8.0,,Yes
Iron Man 2,2010,,,,,
Iron Man 3,2013,,,,,
Irresistible,2020,07/27/2023,3.0,6.0,,
Isle of Dogs,2018,11/04/2025,4.5,9.0,The first pro-gossip movie ever made?,Yes
It's Alive,1974,08/07/2025,1.5,3.0,There’s gotta be a good 70s horror I’ve never heard of right?,
It's Such a Beautiful Day,2012,06/20/2023,4.0,8.0,,Yes
It's What's Inside,2024,10/21/2025,3.5,7.0,Convinced this would be fun if it wasn’t with these psychopaths,
It's a Wonderful Life,1946,,,,,
Jack Frost,1979,,,,,
Jack and Jill,2011,,,,,
Jackie Brown,1997,06/20/2023,3.0,6.0,,
Jay Kelly,2025,01/13/2026,4.0,8.0,"Surprise of 2025 for me, was not expecting to love this going in, but was very surprised how invested I was in these characters. Especially Sandler, written so well and performed Oscar nominations worthy👀",Yes
Jimmy Neutron: Boy Genius,2001,,,,,
Jingle All the Way,1996,12/17/2024,4.0,8.0,,Yes
John Carter,2012,,,,,
Jojo Rabbit,2019,04/27/2021,5.0,10.0,"Perfect, no notes. Like a devastating, warm hug",Yes
Joker,2019,04/27/2021,3.5,7.0,,
Jumanji: Welcome to the Jungle,2017,,,,,
Jumper,2008,,,,,
Jungle Cruise,2021,,,,,
Juno,2007,,,,,
Jurassic Park,1993,,,,,
Jurassic World,2015,,,,,
Jurassic World: Fallen Kingdom,2018,,,,,
Just Friends,2005,12/17/2024,3.0,6.0,,
Justice League: Doom,2012,,,,,
KPop Demon Hunters,2025,01/28/2026,3.5,7.0,Imagine going to see your favorite band and they get murdered on stage,Yes
Kicking & Screaming,2005,,,,,
Kiki's Delivery Service,1989,08/20/2024,4.0,8.0,How is every single character likable and charming.. classic Ghibli,Yes
Kill Bill: Vol. 1,2003,,,,,
Kill Bill: Vol. 2,2004,10/04/2024,2.0,4.0,Tarantino studied yapology for this one,
Killer Klowns from Outer Space,1988,,,,,
Killer's Kiss,1955,11/26/2025,1.5,3.0,"The Killing is a significant ramping up for Kubrick in everything after this, pace, story, characters. Surprisingly nice cinematography though",
Killers of the Flower Moon,2023,01/15/2024,3.5,7.0,,
Kimi,2022,,,,,
King Kong,2005,,,,,
King Richard,2021,11/30/2021,4.5,9.0,,Yes
King of New York,1990,11/05/2025,2.5,5.0,"Really wished I liked this more, could’ve used another 15 minutes (or be directed my Michael Mann👀). Laurence Fishburne absolutely steals the show though, what a fun performance",
Kingdom of the Planet of the Apes,2024,05/16/2024,3.5,7.0,,
Kingpin,1996,,,,,
Kingsman: The Secret Service,2014,04/27/2021,4.0,8.0,,Yes
Klaus,2019,06/20/2023,5.0,10.0,,Yes
Klute,1971,10/03/2025,2.0,4.0,"This was nominated for best screenplay? Romance is forced, mystery is never satisfying, and it’s filmed like a horror movie for some reason.",
Knives Out,2019,04/27/2021,3.0,6.0,,
Knocked Up,2007,,,,,
Kong: Skull Island,2017,,,,,
Krampus,2015,12/02/2025,1.5,3.0,More like Crap-Piss,
Kubo and the Two Strings,2016,,,,,
Kung Fu Panda,2008,11/01/2023,4.0,8.0,,Yes
Kung Fu Panda 2,2011,11/24/2023,4.0,8.0,,Yes
Kung Fu Panda 3,2016,,,,,
L.A. Confidential,1997,,,,,
La La Land,2016,01/31/2024,4.0,8.0,,Yes
Labyrinth,1986,11/24/2025,2.0,4.0,"Made David Bowie into a creep going after a 15 year old. Bad movie, don’t do that. Also Gonzo clears every character in this easily, and he’s like maybe top 5 muppet",
Lady Bird,2017,11/30/2021,3.5,7.0,,
Lady and the Tramp,1955,,,,,
Lars and the Real Girl,2007,,,,,
Laserblast,1978,02/07/2025,1.0,2.0,Michael Bay’s wet dream,
Last Night in Soho,2021,06/12/2023,2.5,5.0,,
Legally Blonde,2001,07/27/2023,1.5,3.0,,
Legend,1985,08/11/2025,1.5,3.0,"Worst Tom Cruise performance, awful characters, bad action, but Tim Curry has never looked or sounded cooler. He never fails to be the best part of a movie",
Legend of the Guardians: The Owls of Ga'Hoole,2010,,,,,
Lemony Snicket's A Series of Unfortunate Events,2004,,,,,
Les Misérables,2012,,,,,
Let It Snow,2019,,,,,
Liar Liar,1997,,,,,
Licorice Pizza,2021,06/20/2023,3.5,7.0,,
Life of Pi,2012,,,,,
Lightyear,2022,07/03/2025,2.5,5.0,"Quality nose dives once the ragtag crew shows up, Sox is more than enough",
Lilo & Stitch,2002,,,,,
Lilo & Stitch 2: Stitch Has a Glitch,2005,,,,,
Lion,2016,,,,,
Little Miss Sunshine,2006,01/22/2025,4.0,8.0,Same casting director as Breaking Bad?,Yes
"Lock, Stock and Two Smoking Barrels",1998,,,,,
Logan,2017,04/27/2021,5.0,10.0,,Yes
Loki,2021,11/30/2021,3.0,6.0,,
Look Back,2024,04/09/2025,4.5,9.0,All that in 59 minutes?? Based off runtime it’s the best black mirror episode there is,Yes
Looper,2012,03/16/2024,4.0,8.0,Christopher Nolan if he didn’t make me rethink everything after watching.,Yes
Lord of War,2005,02/28/2025,2.0,4.0,No one can convince me Nick Cage is getting with someone in every country,
Lost in Translation,2003,08/29/2025,4.0,8.0,"Should’ve known this was gonna be fantastic, it’s Cha Cha Real Smooth but somehow more problematic",Yes
Love & Mercy,2014,01/19/2025,3.0,6.0,Paul Giamatti super villain reminded me of Gary Oldman in Leon,
Love Actually,2003,,,,,
"Love, Simon",2018,06/20/2023,4.0,8.0,,Yes
Luca,2021,08/04/2021,3.5,7.0,,
Lucy,2014,,,,,
Léon: The Professional,1994,05/16/2024,3.5,7.0,Gary Oldman is evil Jim Carey in this,Yes
Mad God,2021,06/06/2025,4.5,9.0,"Craziest shit I’ve ever seen and nothing comes close. Never runs out of ideas, no matter how weird or messed up they are",Yes
Mad Max,1979,,,,,
Mad Max 2,1981,,,,,
Mad Max: Fury Road,2015,04/27/2021,4.0,8.0,,Yes
Madagascar,2005,,,,,
Madagascar 3: Europe's Most Wanted,2012,,,,,
Madagascar: Escape 2 Africa,2008,,,,,
Maestro,2023,05/16/2024,2.5,5.0,,
Maleficent,2014,,,,,
Man of Steel,2013,,,,,
Man on Fire,2004,,,,,
Man on a Ledge,2012,,,,,
Manhunter,1986,10/19/2025,4.0,8.0,Perfect first half. Was convinced this was gonna be perfect going into the 3rd act but it couldn’t deliver. Another reason to love Brian Cox though,Yes
Manos: The Hands of Fate,1966,08/27/2024,0.5,1.0,What a terrible movie… can’t wait to make it a drinking game,
Marriage Story,2019,04/27/2021,4.0,8.0,,Yes
Mars Attacks!,1996,,,,,
Mars Needs Moms,2011,,,,,
Marty Supreme,2025,12/27/2025,3.5,7.0,"Sweating for 2 and a half hours watching this, was as tired as a 5k",Yes
Mary and Max,2009,08/07/2025,4.0,8.0,Ain’t no way they got me tearing up over claymation☹️,Yes
Me Time,2022,06/20/2023,2.0,4.0,,
Mean Girls,2004,,,,,
Meet the Parents,2000,,,,,
Meet the Robinsons,2007,,,,,
Megamind,2010,05/17/2025,3.5,7.0,,Yes
Memento,2000,02/21/2025,4.5,9.0,Goddamnit Nolan.. I knew the twist before and he still blew my mind with who he actually is,Yes
Men in Black,1997,,,,,
Men in Black 3,2012,,,,,
Men in Black II,2002,,,,,
Mickey 17,2025,03/09/2025,2.5,5.0,I’m gonna see Ruffulo’s teeth in my dreams for awhile,
"Mickey, Donald, Goofy: The Three Musketeers",2004,09/15/2025,3.0,6.0,,
Midnight Run,1988,,,,,
Midsommar,2019,10/17/2025,3.5,7.0,"Looks fantastic. Should be more bright horror movies, but can definitely see them falling flat easily.",
Minions,2015,,,,,
Miracle on 34th Street,1994,12/24/2025,3.0,6.0,Christmas movies made in the 90s have no need going so hard with the fits,
Miss Peregrine's Home for Peculiar Children,2016,,,,,
Mission: Impossible,1996,,,,,
Mission: Impossible II,2000,,,,,
Mission: Impossible III,2006,,,,,
Mission: Impossible – Fallout,2018,,,,,
Mission: Impossible – Rogue Nation,2015,,,,,
Moana,2016,,,,,
Modern Times,1936,,,,,
Moneyball,2011,,,,,
Monkeybone,2001,,,,,
Monster House,2006,,,,,
Monsters University,2013,,,,,
Monsters vs Aliens,2009,,,,,
"Monsters, Inc.",2001,06/12/2023,3.5,7.0,,Yes
Monty Python and the Holy Grail,1975,,,,,
Monty Python's The Meaning of Life,1983,05/14/2025,2.5,5.0,,
Moon,2009,,,,,
Moonlight,2016,01/12/2026,3.5,7.0,"So well made, everything about this on the technical side is one of a kind and gorgeous to watch unfold. I just wish I knew what any of these characters wanted, if that makes sense at all",
Moonrise Kingdom,2012,11/30/2021,3.0,6.0,,
Mr. Popper's Penguins,2011,,,,,
Mr. Right,2015,06/20/2023,3.5,7.0,,
Mulan,1998,,,,,
Murder Mystery,2019,05/16/2024,1.5,3.0,,
My Big Fat Greek Wedding,2002,07/16/2025,3.0,6.0,Aunt Voula top 10 character ever written,Yes
My Neighbor Totoro,1988,05/16/2025,5.0,10.0,I would’ve never thought I would watch a Miyazaki that would rival Porco Rosso,Yes
My Neighbors the Yamadas,1999,09/23/2025,2.0,4.0,"Maybe just aged poorly? Feels like a compilation of a cool Instagram account, not a full movie",
"Mystery, Alaska",1999,07/16/2025,2.5,5.0,Man I wish Alaska was real,
Nacho Libre,2006,,,,,
National Lampoon's Christmas Vacation,1989,,,,,
National Treasure,2004,,,,,
Nazis at the Center of the Earth,2012,08/27/2024,1.0,2.0,PlayStation 2 Hagrid looked better than most CGI in this.,
Network,1976,09/12/2025,4.5,9.0,"Please find a way to watch this. This script is perfect, every character so convincing in what they believe in no matter how vile it is. More applicable today than ever, just seeing the story of why a group of people feel justified to put their company over peoples’ lives.",Yes
Nickel Boys,2024,03/11/2025,3.5,7.0,Not the best of the best picture noms but definitely the most interesting,Yes
Night at the Museum,2006,,,,,
Night at the Museum: Battle of the Smithsonian,2009,,,,,
Night at the Museum: Secret of the Tomb,2014,,,,,
No Sudden Move,2021,06/20/2023,2.0,4.0,,
No Time to Die,2021,06/20/2023,3.0,6.0,,
Noelle,2019,,,,,
Nosferatu,2024,01/04/2025,3.5,7.0,Freakeratu,
Not Another Teen Movie,2001,,,,,
Now You See Me,2013,,,,,
Number 24,2024,01/22/2025,4.0,8.0,Norwegian Adrian Brody does not mess around,Yes
Nurse Sherri,1977,04/24/2025,1.0,2.0,"Plot: 
terrible movie…. Good chase scene ……2nd half of terrible movie",
Ocean's Eleven,2001,03/27/2024,4.5,9.0,Lyman Zerga is the greatest fake name in cinematic history,Yes
Office Space,1999,06/26/2025,3.5,7.0,Little known fact that Milton becomes the Raven from Barry,Yes
Old,2021,08/04/2021,2.0,4.0,,
Oldboy,2003,02/16/2025,4.0,8.0,Thank you for giving us daredevil hallway scene,Yes
Oliver & Company,1988,,,,,
On the Waterfront,1954,07/27/2023,3.0,6.0,,
Once Upon a Time... in Hollywood,2019,06/29/2025,2.5,5.0,Anora: the even worse ending,
One Battle After Another,2025,10/02/2025,4.5,9.0,"“Semen Demon” wins joke of the year, Sean Penn wins best weirdo of the year (sorry Aunt Gladys)",Yes
One Flew Over the Cuckoo's Nest,1975,,,,,
One Hundred and One Dalmatians,1961,,,,,
Onward,2020,,,,,
Oppenheimer,2023,07/27/2023,5.0,10.0,,Yes
Ordinary People,1980,06/09/2025,4.0,8.0,"Nothing but powerhouse performances, a bit melodramatic.",Yes
Over the Garden Wall,2014,10/14/2025,4.0,8.0,"I need more of the pumpkin cult, just a chill town looking to have a good time. Also all my homies hate those girls for hating on Greg’s elephant costume",Yes
Over the Hedge,2006,,,,,
Paddington,2014,02/05/2024,3.5,7.0,,
Palm Springs,2020,04/27/2021,3.0,6.0,,
Paper Moon,1973,09/02/2025,3.5,7.0,"Still thinking about Ms Delight trying to get up the hill. First half is fantastic, what a duo",Yes
ParaNorman,2012,,,,,
Parasite,2019,06/12/2023,3.0,6.0,,
Paths of Glory,1957,06/12/2025,4.0,8.0,"Good to know people in power sucked just as much back then, all in different, terrible ways too",Yes
Paul Blart: Mall Cop,2009,,,,,
Penguins of Madagascar,2014,,,,,
Percy Jackson & the Olympians: The Lightning Thief,2010,,,,,
Pete's Dragon,2016,,,,,
Peter Pan,1953,,,,,
Phantasm,1979,09/11/2025,2.0,4.0,Shoutout the maid for showing up for 3 seconds and not noticing anything weird for 90 minutes,
Phineas and Ferb The Movie: Across the 2nd Dimension,2011,,,,,
Pig,2021,06/20/2023,3.5,7.0,,
Pineapple Express,2008,,,,,
Pinocchio,1940,,,,,
Pinocchio's Christmas,1980,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,,,,
Pixels,2015,,,,,
Planet 51,2009,,,,,
Planet of the Apes,1968,,,,,
Playground,2021,,,,,
Pleasantville,1998,,,,,
Plus One,2019,,,,,
Pocahontas,1995,,,,,
Pokémon Detective Pikachu,2019,06/20/2023,2.5,5.0,,
Pokémon: The First Movie,1998,,,,,
Poltergeist,1982,,,,,
Pom Poko,1994,01/06/2026,3.0,6.0,"The densest movie I’ve seen in awhile. So much happens, it’s all over the place, but very creative. Not the funniest ghibli even though it’s a comedy? Also has a near 10/10 scene at the end that I was not ready for. Ghibli has melted my brain again",
Ponyo,2008,08/19/2025,3.0,6.0,80% of the conflict is cause Liam Neeson fish dad has no chill,
Poor Things,2023,05/15/2025,3.5,7.0,Don’t ask me why but this has similarities to Fritz the Cat,Yes
Popstar: Never Stop Never Stopping,2016,11/13/2025,3.0,6.0,When is Tim Meadows gonna complete his trilogy of music mockumenteries with Walk Hard and Popstar? The people need it,
Porco Rosso,1992,12/17/2024,4.5,9.0,Please don’t make me pick between this and Last Duel for best 1v1 fight,Yes
Possessor,2020,06/20/2023,1.0,2.0,,
Power Rangers,2017,,,,,
Premium Rush,2012,,,,,
Pretty Woman,1990,,,,,
Prey,2022,,,,,
Princess Mononoke,1997,04/27/2021,2.0,4.0,,
Project Power,2020,06/20/2023,2.0,4.0,,
Prom Night,1980,06/06/2025,2.5,5.0,I guess they cut all the scenes where Leslie Nielsen makes 50 puns?,
Psycho,1960,,,,,
Pulp Fiction,1994,04/27/2021,4.5,9.0,,Yes
Punch-Drunk Love,2002,08/22/2025,4.0,8.0,"Basically the US version of Submarine (2010). Also it’s amazing, can’t believe I wasn’t excited to watch it",Yes
Puss in Boots,2011,,,,,
Puss in Boots: The Last Wish,2022,06/12/2023,4.0,8.0,,Yes
R.I.P.D.,2013,,,,,
Raging Bull,1980,06/02/2025,4.0,8.0,Jail scene is so good you almost feel bad,Yes
Rain Man,1988,06/20/2023,4.0,8.0,,Yes
Ralph Breaks the Internet,2018,,,,,
Ran,1985,05/18/2025,3.5,7.0,"I got giddy every time Lady Kaede was on screen, she insane",
Rango,2011,01/31/2024,4.5,9.0,,Yes
Ratatouille,2007,04/27/2021,3.0,6.0,,
Raya and the Last Dragon,2021,06/20/2023,3.0,6.0,,
Real Steel,2011,,,,,
Rear Window,1954,01/09/2026,4.0,8.0,"Grown-ass 250 lb man 0
Camera flash 1 

Also is this pro-creep on your neighbors?🧐",Yes
Rebel Ridge,2024,09/09/2024,4.5,9.0,He somehow never killed.. except that one dudes arm,Yes
Red One,2024,11/19/2024,2.0,4.0,Best thing that would come out of this would be a Krampus spin-off movies,
Red Rocket,2021,06/20/2023,2.0,4.0,,
Remember the Titans,2000,,,,,
Reservoir Dogs,1992,06/18/2023,3.0,6.0,,
Return of the Jedi,1983,,,,,
Ride the Eagle,2021,06/20/2023,1.5,3.0,,
Riders of Justice,2020,06/20/2023,4.5,9.0,,Yes
Rio,2011,,,,,
Rio 2,2014,,,,,
Rise of the Guardians,2012,,,,,
Rise of the Planet of the Apes,2011,,,,,
Robin Hood,1973,,,,,
Robin Hood: Men in Tights,1993,,,,,
Robots,2005,,,,,
Rocketman,2019,,,,,
Rogue One: A Star Wars Story,2016,04/27/2021,3.5,7.0,,
Role Models,2008,,,,,
Room,2015,10/17/2024,4.0,8.0,Wooooh they escaped!! Wait why is this still depressing?,Yes
Rosemary's Baby,1968,10/31/2025,4.5,9.0,"1. Rosemary’s only mistake was not instantly leaving when Guy said he enjoyed role playing necrophilia🚩😟
2. I think I enjoy Get Out so much cause I get to see everyone I hate in the movie get brutally beaten to death, tragic it didn’t happen here",Yes
Rubber,2010,,,,,
Rudolph the Red-Nosed Reindeer,1964,,,,,
Rudolph's Shiny New Year,1976,,,,,
Run Lola Run,1998,,,,,
Rushmore,1998,06/20/2023,3.5,7.0,,Yes
SNL50: The Anniversary Special,2025,,,,,
Safe Men,1998,07/24/2025,2.0,4.0,"Ending is baffling, how do you set up Paul giamatti blowing up cause of pants and not do it?",
Safety Not Guaranteed,2012,06/20/2023,2.0,4.0,,
San Andreas,2015,,,,,
Santa Claus Is Comin' to Town,1970,12/14/2025,3.5,7.0,"“Please, call me Winter”

These goddamn Clauses don’t even get his name right after 60 years",Yes
Saturday Night,2024,02/21/2025,3.0,6.0,Willem Defoe is going to get a nom for 3 minutes of screen time one of these years,
Sausage Party,2016,,,,,
Save the Green Planet!,2003,04/11/2025,3.0,6.0,Dog named earth not being an alien dropped this half a star,
Saving Mr. Banks,2013,,,,,
Saving Private Ryan,1998,04/27/2021,4.5,9.0,,Yes
Say Anything...,1989,07/09/2025,3.0,6.0,"First 30 min: wow I haven’t seen a supportive dad in a movie in awhile
Last 30 min: nevermind",
Scanners,1981,06/13/2025,2.5,5.0,"Main actor can’t go through 2 lines sounding believable, guy is awful. Music is banging though",
Scary Godmother: Halloween Spooktakular,2003,10/22/2025,3.5,7.0,"Greatest animated Bowling cutscene ever created. Justice for Skully, made good looking food for greedy-ass Harry to ruin",Yes
Scary Movie,2000,,,,,
Scary Movie 2,2001,,,,,
Scary Movie 3,2003,,,,,
School of Rock,2003,,,,,
Scooby-Doo,2002,,,,,
Scooby-Doo and the Cyber Chase,2001,,,,,
Scooby-Doo! and the Reluctant Werewolf,1988,,,,,
Scott Pilgrim Takes Off,2023,,,,,
Scott Pilgrim vs. the World,2010,01/31/2024,3.5,7.0,,
Scouts Guide to the Zombie Apocalypse,2015,,,,,
Scream,1996,10/12/2025,4.0,8.0,I know this came out in ‘96 but the poster is Lucy Hale from Pretty Little Liars and I will never be able to unsee it. Also Matthew Lillard should have at least 2 Oscars by now,Yes
Scream VI,2023,06/12/2023,1.0,2.0,,
Scrooged,1988,12/13/2025,1.5,3.0,"I didn’t know Christmas Carol could be butchered this badly, who knew cranky old Scrooge was so much more likable",
Se7en,1995,04/25/2025,4.5,9.0,Mannnnn.. I wish I could have seen opening weekend at the theater,Yes
Seabiscuit,2003,,,,,
Sentimental Value,2025,01/23/2026,4.0,8.0,"Maybe a 4.5 stars, idk yet but I wanna watch this again. The scene with the two sisters🥲, might’ve been the only time I’ve teared up from a 2025 movie",Yes
September 5,2024,02/26/2025,2.0,4.0,What’s with the emphasis on ratings during this,
Serpico,1973,10/03/2025,4.0,8.0,"I was excited to see what hat Pacino was gonna pull up in every scene. Can’t believe I waited until this year to watch Lumet’s movies, he’s so goooood",Yes
Set It Up,2018,12/14/2023,3.5,7.0,,Yes
Seven Samurai,1954,05/07/2025,4.5,9.0,Woah.. feel like I just watched a full season of a tv show. This got me unbelievably hype to watch Ran next,Yes
Sexy Beast,2000,08/23/2025,3.5,7.0,This is how it felt as a kid when my parents’ cousins would stop by,Yes
Shane Gillis: Beautiful Dogs,2023,11/23/2023,3.0,6.0,,Yes
Shark Tale,2004,,,,,
Sharktopus,2010,03/03/2025,1.0,2.0,,
Shaun of the Dead,2004,04/27/2021,3.0,6.0,,
She's Out of My League,2010,,,,,
Sherlock Holmes,2009,,,,,
Sherlock Holmes: A Game of Shadows,2011,,,,,
Sherlock Jr.,1924,06/17/2025,3.0,6.0,"Everyone thank this for inspiring peak movie, Hundreds of Beavers",Yes
Shiva Baby,2020,01/08/2026,3.5,7.0,"AAAAAAAAAAAHHHHHHHHHHHHHHHHHH

Scariest horror movie I’ve seen since i don’t know when. Questions about life after college and uncomfortable situations? Giving me PTSD out here",Yes
Shrek,2001,05/16/2024,4.5,9.0,,Yes
Shrek 2,2004,05/16/2024,4.0,8.0,,Yes
Shrek Forever After,2010,05/20/2025,2.5,5.0,Feels like a TV special. Also does my boy Puss so wrong,
Shrek the Third,2007,,,,,
Sing Sing,2023,08/25/2025,3.5,7.0,That lady asking if he was acting the whole time during the interview is the most devastating thing I’ve seen since I’m Still Here,Yes
Sing Street,2016,06/20/2023,4.5,9.0,,Yes
Sinners,2025,01/30/2026,3.5,7.0,Not having the dad come back as Michael B Jordan with white hair is a missed opportunity,
Sinners,2025,01/30/2026,3.5,7.0,"Same issues I had with this before, all the technical elements do not work for the horror sections. However it’s bumped up half a star cause I forgot how good these performances are",
Sisu,2022,06/12/2023,3.5,7.0,,Yes
Sisu: Road to Revenge,2025,12/01/2025,3.5,7.0,"Do not get it twisted, this is a superhero movie",Yes
Sky High,2005,,,,,
Sleeping Beauty,1959,,,,,
Sleeping with Other People,2015,,,,,
Small Things Like These,2024,11/21/2025,2.5,5.0,"Most depressing Christmas movie ever made? Takes slow-burn to a whole new level, but Emily Watson steals the show. Sorry Shane😔",
